work_year,company_size_full,avg_salary,median_salary,count
2020,Large,114311.97,89000.0,34
2020,Medium,113195.06,98000.0,17
2020,Small,78782.43,60000.0,23
2021,Large,106493.74,89294.0,115
2021,Medium,83088.53,71786.0,49
2021,Small,94172.13,81000.0,39
2022,Large,117560.47,108000.0,156
2022,Medium,136055.82,132000.0,827
2022,Small,80299.79,62303.0,42
2023,Large,116888.87,100000.0,178
2023,Medium,154649.68,146115.0,3647
2023,Small,91420.64,81600.0,44
2024,Large,128951.99,120000.0,245
2024,Medium,149828.36,137750.0,12945
2024,Small,97965.67,100000.0,21
2025,Large,138139.93,134814.0,159
2025,Medium,145241.63,131414.0,13686
2025,Small,76485.5,52785.5,8
