work_year,employment_type_full,avg_salary,count
2020,Contract,68251.0,3
2020,Freelance,60000.0,1
2020,Full-time,107654.87,68
2020,Part-time,18817.5,2
2021,Contract,263666.67,3
2021,Freelance,40000.0,2
2021,Full-time,95749.76,189
2021,Part-time,43355.75,4
2022,Contract,69545.25,4
2022,Freelance,76841.0,3
2022,Full-time,130761.63,979
2022,Part-time,74578.83,6
2023,Contract,99314.4,10
2023,Freelance,39250.0,4
2023,Full-time,153371.75,3554
2023,Part-time,69820.0,3
2024,Contract,112689.18,62
2024,Freelance,30000.0,1
2024,Full-time,151070.08,11689
2024,Part-time,87928.9,60
2025,Contract,95402.34,122
2025,Full-time,146263.11,12484
2025,Part-time,86613.51,71
